Stock,HRP_Weight,HRP_Weight_Percent,Equal_Weight,Equal_Weight_Percent
BAJFINANCE,0.15874529246317398,15.874529246317397,0.2,20.0
SUNPHARMA,0.23807026743576293,23.807026743576294,0.2,20.0
BIOCON,0.20636888020212618,20.636888020212616,0.2,20.0
TI,0.23807026743576293,23.807026743576294,0.2,20.0
BHARTIARTL,0.15874529246317398,15.874529246317397,0.2,20.0
