instrument_key,tradingsymbol,sharpe_ratio,sortino_ratio,max_drawdown,std_dev,information_ratio,r_squared,jensens_alpha
NSE_EQ|INE0SVO01019,SIDDHICOTS,18.611690402478068,,0.0,0.42335174281330407,18.71959905237889,0.03886370274446773,7.396992685572685
NSE_EQ|IN9278G01019,CYBERPP,8.53864108147344,25.171007486802704,-0.13494809688581313,0.6563828897463163,8.673838200814531,0.02581901505138463,5.625817274363161
NSE_EQ|INE0ZI101018,GANGABATH,5.013519716679108,10.48547129406972,-0.15892857142857136,0.45257290581892834,5.251380123432922,0.06933496343533488,2.3149900058381983
NSE_EQ|INE0K6601012,TGL,4.341619814462638,9.634013413375085,-0.3038635572572228,0.5530201308794849,4.529630545033292,0.01610427062511789,2.4551681387700603
NSE_EQ|INE03HW01020,VLEGOV,4.113905929866226,9.979251785498205,-0.47762801722786996,0.5231366661568095,4.353484357233389,0.02999257130444993,2.2220594949091867
NSE_EQ|INE319Z01021,SUPREMEENG,4.06908894245969,9.132068142817975,-0.28979591836734697,0.5212948094767756,4.179542704057493,0.003959847263975825,2.1443139751519067
NSE_EQ|INE888C01040,SADHNANIQ,3.7294171198554555,6.328968712047907,-0.44314079422382663,0.5732826876683947,3.9381147831336603,0.02467459058004547,2.2075128500090075
NSE_EQ|INE436A01026,ANSALAPI,3.640369425402109,8.829743509504056,-0.3856655290102389,0.39239449278926536,3.9035028382128467,0.004451756741794006,1.4595303533062502
NSE_EQ|INE060J01017,FLEXITUFF,3.4094071576136042,6.288451940294139,-0.3579465541490858,0.4615698475005148,3.4602003667290706,0.0009583980780502872,1.5812075181863727
NSE_EQ|INE165B01029,RSSOFTWARE,3.384062120371412,7.256321896272092,-0.4686306601200217,0.4805864445534969,3.6748631050790763,0.05048572856724176,1.7096761974125205
NSE_EQ|INE054301028,ODIGMA,3.3336829510210872,5.535467380943375,-0.4761989659475842,0.4824466171309954,3.481727935611415,0.026579732035140965,1.6442562976150477
NSE_EQ|INE871L01013,TVVISION,3.0809801767693354,6.832530591253499,-0.5534731564143336,0.506425023982838,3.3024817967521187,0.026450569143975294,1.6238536418059544
NSE_EQ|INE784B01035,WINSOME,2.9424885058967103,8.429780110246462,-0.25688073394495425,0.22918435866838174,3.0603038577223387,0.006959984127819467,0.689006918580264
NSE_EQ|INE0N7F01017,HOMESFY,2.819112497842303,5.647692378516661,-0.21436588103254786,0.5208869428733133,2.8557126908785264,0.03884061069687395,1.4609518537439115
NSE_EQ|INE0DZ701010,DYNAMIC,2.8062202379515915,4.942795946074414,-0.3522696384887198,0.49098603544541597,3.00302777805196,0.017440243628873923,1.4271968039932228
NSE_EQ|INE0RDH01021,LAWSIKHO,2.7364001994462135,4.340177764153146,-0.2740000000000005,0.4149379669965334,2.8552541373975155,0.0002507727812292843,1.1405077663490226
NSE_EQ|INE0TD101011,IDENTICAL,2.6845912499180553,4.803210543060406,-0.2558795860771401,0.5247767377272694,2.8011933272990164,0.003173242868758696,1.4285369563849344
NSE_EQ|INE781B01015,NOIDATOLL,2.663434734051303,5.673132620795663,-0.5044809124767224,0.5496145443158172,2.783723873486526,0.0006946585414228161,1.4750427051708257
NSE_EQ|INE968D01022,ARSHIYA,2.6303781115328477,5.987167676127976,-0.25776397515527993,0.562074955101922,2.9722150144207573,0.024545171172878064,1.6001282862925028
NSE_EQ|INE979R01011,SHYAMCENT,2.5904684101971007,3.167110343587462,-0.31434465174480425,0.40392103814051494,2.8549662273621226,0.03421520583796334,1.1040098061599262
NSE_EQ|INE740X01023,LAL,2.531495709520281,4.026767582279505,-0.33029612756264226,0.4262271339509375,2.797111849686973,0.0383359807781536,1.1434018948642728
NSE_EQ|INE05ST01028,SBGLP,2.454038300355839,5.638873170991581,-0.4590959762054736,0.5729476953024528,2.5990688183229755,0.004776894117219192,1.436598512741314
NSE_EQ|INE00ER01015,ONDOOR,2.424423995939679,3.934555753500953,-0.3802679658952492,0.5057006664494756,2.4512181977760577,0.0022118800812340475,1.2328905708529563
NSE_EQ|INE0OL001018,SPECTSTM,2.3578686108898657,4.300673604932138,-0.36228504809093537,0.4956557262065758,2.5849329071170133,0.03737453814597706,1.238771612297032
NSE_EQ|INE411Y01011,DIL,2.280700031379899,3.7855373744366254,-0.2754716981132076,0.595116825824094,2.4977044175266796,0.044655477952439335,1.4543444016648863
NSE_EQ|INE635A01023,SHYAMTEL,2.2734298972118454,4.0141344282772025,-0.391899000526039,0.5050271108050883,2.4176287881237055,0.0021058759455567506,1.1660307614314471
NSE_EQ|INE442P01014,SUYOG,2.210700283386399,3.8977661862675785,-0.19351739482200642,0.4820649248501076,2.496866849302709,0.06919724013040465,1.1635727457919947
NSE_EQ|INE0DAB01012,RVTH,2.1810587854688896,3.78428119135505,-0.3390239974230955,0.4688534863954356,2.415495648571262,0.032285625982599576,1.087617301957759
NSE_EQ|INE938A01021,LCCINFOTEC,2.143876870217532,4.16540884698775,-0.2380952380952381,0.5298052386640267,2.3900862357258017,0.05114035117204705,1.2290074546292904
NSE_EQ|INE00KV01022,RAJMET,2.116837540029248,3.12541579419681,-0.39175257731958724,0.3838833106713811,2.4378860280977825,0.06328785611656745,0.887154682583666
NSE_EQ|INE886A01014,IITL,2.101385968379335,3.462230696042249,-0.2655360237682597,0.45272555045231977,2.345242678296839,0.03513172157500038,1.0168436607506435
NSE_EQ|INE860T01019,SABEVENTS,2.0602879387137847,4.0172922950274925,-0.49410688884373105,0.47977720728188916,2.240563541625607,0.00924717375840015,1.024087493718861
