Metric,Optimized_Portfolio,Benchmark_NIFTY50
sharpe_ratio,0.03569124101380781,-0.6244371901394414
sortino_ratio,0.057045198112957725,-0.9887813385679024
max_drawdown,-0.5184261519877489,-0.7097102729053395
std_dev,0.29699824308377326,0.1793557699014181
information_ratio,0.4724006658140986,
r_squared,0.24773661128302216,
jensens_alpha,0.10290789494962528,
