tradingsymbol,instrument_key,optimal_weight (%),1_year_return (%),weighted_1_year_return (%),6_month_return (%),weighted_6_month_return (%)
ABCAPITAL,NSE_EQ|INE674K01013,1.0,-44.31585292344786,-0.4431585292344786,-33.25497287522604,-0.3325497287522604
BANKBARODA,NSE_EQ|INE028A01039,1.0000000000000193,-16.257722859664614,-0.16257722859664928,-14.810238305383926,-0.14810238305384213
UNIONBANK,NSE_EQ|INE692A01016,17.342282753169535,-23.62080315997367,-4.096386472572238,-8.189598420013166,-1.420263314347788
CANBK,NSE_EQ|INE476A01022,1.0000000000000606,-31.81596375043568,-0.3181596375043761,-24.823980481003826,-0.24823980481005328
BIOCON,NSE_EQ|INE376G01013,79.65771724683042,-21.57074340527577,-17.182761789813892,-18.309352517985623,-14.584812258502414
