Portfolio,Profit_2019_(%),Profit_2020_(%),Profit_2021_(%),Profit_2022_(%),Profit_2023_(%),Profit_2024_(%),Profit_2025_(%)
"TI, TRENT, PRECWIRE, INDIAGLYCO, BSE",10.947259024292944,-28.92192040940813,-19.381734383939364,188.3265518564205,45.21180562099032,71.56902109176781,811.7758740038777
"TI, PRECWIRE, INDIAGLYCO, PERSISTENT, BSE",13.885473996575627,-46.252597294817356,-14.932504168339712,435.57715699453877,38.58010527586737,44.15835943332307,619.4458349118875
"TI, TRENT, INDIAGLYCO, PERSISTENT, BSE",3.3204479033476897,-37.244155763732536,-3.7948222927575936,297.0274429264661,31.394444697846136,38.31222806323169,772.550701008015
"TI, TRENT, PRECWIRE, PERSISTENT, BSE",3.8884050096584355,-34.378042645002594,3.024347893567292,276.3584486115064,-0.3350055943501573,77.4665997522878,721.5806427137435
"TI, ARVIND, INDIAGLYCO, PERSISTENT, BSE",17.206916191292756,-48.94397182476753,-24.01083532870637,510.13517742266873,27.278635239514326,44.66747148626051,640.4090472308832
"TI, TRENT, PERSISTENT, BSE, COFORGE",-8.517823585583983,-39.270287064881785,7.287968930714772,288.2156669639357,14.219190450966423,52.90125262518075,795.0527271837113
"TI, PRECWIRE, PERSISTENT, BSE, COFORGE",1.0931802883328956,-49.20336457154333,-13.691983343853275,439.43040981231525,38.10745438331702,51.067178396222104,618.9484187145287
"TI, TRENT, PERSISTENT, BSE, BAJFINANCE",-3.73621440006201,-31.035879555832015,17.31813113962839,315.08362551709126,24.72612992518586,96.04106952386613,350.15246093159647
"TI, PRECWIRE, PERSISTENT, BSE, BAJFINANCE",2.2893542187294225,-33.74746415717927,16.77577621769053,354.2699241527281,37.007366532443186,81.82218621807364,291.3633993179401
"TI, TRENT, PRECWIRE, BSE, BAJFINANCE",-0.3939962977779543,-6.2764007469088945,2.598629114706408,211.7023060814051,38.741394941456605,122.10301609835312,271.6736766657676
"TI, TRENT, PRECWIRE, BSE, COFORGE",-4.868914784567357,-23.48481059119901,-6.116548357617891,219.12816916055476,25.584686223953177,67.85438085267597,632.5669214256545
"TI, ARVIND, PRECWIRE, PERSISTENT, BSE",23.66486210196379,-50.91245169484877,-15.32406808907325,451.48834669483114,-0.020970734569547567,70.67524242788781,595.2823987004602
"TI, INDIAGLYCO, PERSISTENT, BSE, COFORGE",-1.4926453985053878,-45.06473239059212,-13.318565372340174,461.3338471152578,37.4649182889387,23.09343572366822,654.720820140595
"TI, TRENT, PERSISTENT, BSE, ABCAPITAL",2.5521388571541292,-35.686032213808936,41.55976554790441,269.4422744128843,20.327721967151845,90.88112157823889,316.5940894740956
"TI, PERSISTENT, BSE, UNIONBANK, ABCAPITAL",13.059910363858961,-50.483095062400174,28.525993330780032,306.4376843042294,38.21363430219375,103.8365860263045,300.41133927881003
"TI, TRENT, BSE, UNIONBANK, ABCAPITAL",9.046539259519214,-32.648435679851275,14.124061703609136,139.98847328374202,30.003499529856835,163.13388927053768,362.4280022008632
"TI, PRECWIRE, INDIAGLYCO, BSE, COFORGE",2.4096317809345402,-39.09671889754321,-22.38913539034296,349.25616754809096,47.46300192999271,37.338725633970405,615.7612175540854
"TI, TRENT, BSE, CANBK, ABCAPITAL",7.01329211285211,-24.550174796748713,12.504912757321108,160.32981319734034,32.35902762730098,136.01576416535713,321.41954615228616
"TI, TRENT, INDIAGLYCO, BSE, COFORGE",-5.51500972325607,-27.305435718559345,-13.434746692064536,242.6226995871515,26.351998795371443,35.05370433927315,794.3481133605331
"TI, PERSISTENT, BSE, CANBK, ABCAPITAL",12.691330181435667,-47.93961197896043,27.71991218253127,337.9619262231605,39.1023545432527,82.06318998124966,272.60359002768797
"TI, PERSISTENT, BSE, ABCAPITAL, BAJFINANCE",2.8557749232560825,-34.207924564107316,46.68361457636008,359.57403602504803,38.31016414184445,82.85010911691018,161.508113161666
"TI, TRENT, PRECWIRE, INDIAGLYCO, PERSISTENT",0.949681887077114,-34.55016908520785,15.645595885871643,258.3030005425769,38.064596415886776,57.80522523222391,403.23375716501124
"TI, INDIAGLYCO, PERSISTENT, BSE, BAJFINANCE",4.214999324591706,-32.73639704401492,3.8819215661425988,396.6846472499399,43.439501649371984,43.73948723769578,294.9267090150737
"TI, ARVIND, PRECWIRE, INDIAGLYCO, PERSISTENT",23.717708679255555,-46.19498083963298,-0.730590283606769,427.8433533069435,30.39076838615442,47.906878037388736,329.71909519578367
"TI, INDIAGLYCO, PERSISTENT, BSE, ABCAPITAL",12.62799506819119,-49.02173540783976,16.22926652249703,393.25100376817693,47.25461668828257,48.723078967131904,295.06181961947084
"TI, ARVIND, TRENT, PRECWIRE, BSE",21.264164614847857,-31.687429656280408,-22.76389378168364,188.4322581186287,-8.009872377599404,97.92629216765076,736.5713148720165
"TI, ARVIND, PRECWIRE, INDIAGLYCO, BSE",35.11898487866772,-47.3466574397694,-45.869440744955284,322.2214502598927,42.1851578571423,57.82093070721936,663.8489807534336
"TI, ARVIND, PRECWIRE, BSE, COFORGE",10.178380506080732,-43.13001491645585,-26.3906430191842,334.0709960293215,22.120311522736102,62.587151392213315,596.1241922408747
"TI, INDIAGLYCO, PERSISTENT, BSE, ANGELONE",0.0,-21.134387669401,-50.18393453844854,496.5083900240586,31.508626828102848,30.380379047227322,588.4224375971214
"TI, INDIAGLYCO, PERSISTENT, BSE, UNIONBANK",14.48695359025236,-50.09963280522847,-14.84620303384574,316.184220722526,48.69792194394786,64.16673381207032,458.074226690226
"TI, PERSISTENT, BSE, ANGELONE, ABCAPITAL",0.0,-22.844307241043627,-25.893241625193085,412.7904186463938,23.261141524194496,77.02430517765453,326.79912184299616
"TI, PERSISTENT, BSE, COFORGE, BAJFINANCE",-7.844399274546687,-39.06651416720405,19.672918643207748,387.22210236431255,28.393194923618516,64.37634709604423,290.68214074175035
"TI, PERSISTENT, BSE, BANKBARODA, ABCAPITAL",12.397780244719536,-50.2181118259722,30.92002004242138,298.3602006139879,44.78597972107461,91.95638246840441,231.020164818811
"TI, TRENT, BSE, BANKBARODA, ABCAPITAL",6.668461322565533,-27.731261520458126,16.684850652359785,138.22849181080898,34.55631751029693,146.07364901910262,275.0193930938147
"TI, PRECWIRE, PERSISTENT, BSE, ABCAPITAL",13.548530511271583,-48.898056842275025,1.1408726755884002,381.2391820820095,32.65285124173269,80.20570980792581,291.7808496889998
"TI, TRENT, PRECWIRE, PERSISTENT, BAJFINANCE",-10.991929687793423,-29.42652745696931,38.8149754331546,295.5060879425267,47.90895619938424,93.92517417940995,167.002470144224
"TI, ARVIND, TRENT, PRECWIRE, PERSISTENT",8.878219872087612,-35.4796737825922,12.4135446830681,277.0802401291549,2.9597154486709965,72.13673598311348,398.4019211659418
"TI, INDIAGLYCO, PERSISTENT, BSE, CANBK",14.266199163771208,-46.95146056873759,-11.246224094215517,369.97241116493547,33.46142909468976,62.44293979354056,379.59060820425555
"TI, PERSISTENT, BSE, UNIONBANK, BAJFINANCE",3.427969987101487,-40.329909927477246,5.792242998131658,310.6157993659619,34.390178829076355,98.09927405614192,265.11209283284245
"TRENT, PRECWIRE, INDIAGLYCO, PERSISTENT, BSE",4.377494758396128,-45.49085917756032,1.3909850736856022,247.90563266704234,24.912339829305274,41.17314024464578,628.8272536980799
"TI, PERSISTENT, BSE, CANBK, BAJFINANCE",5.9279697001814124,-36.16193923878672,10.775850066960292,353.8572310867237,27.778662621292447,79.53283922999313,227.6866045589644
"TI, TRENT, PRECWIRE, BSE, ABCAPITAL",9.65136654919354,-26.621442369281954,-8.088981551557605,159.67878114059042,24.456488367056227,136.04447474105106,348.42125430647604
"TRENT, PRECWIRE, PERSISTENT, BSE, BAJFINANCE",-3.156303004308969,-34.213268157915564,21.936403507459822,286.74543705624075,15.366578062523995,96.11760164335914,270.93820177645716
"ARVIND, PRECWIRE, PERSISTENT, BSE, ANGELONE",0.0,-21.416275266799513,-37.262740107580626,488.1905831591336,-12.919037198028816,66.0700535138119,499.55399279251634
"TI, TRENT, PERSISTENT, UNIONBANK, ABCAPITAL",-5.283265656630709,-34.06079488532902,71.39269195519273,197.6173417140239,40.30655673466694,108.94685725618069,168.3130949488637
"TI, TRENT, PERSISTENT, BSE, HCG",10.085825208233157,-46.57625100504792,2.9603035984764325,243.89254772933486,5.637006540411171,62.79052040608677,595.0234590097738
"TI, TRENT, INDIAGLYCO, BSE, CANBK",12.242760700918765,-22.131532577277145,-17.81016931461067,157.45077268935864,27.43087676719305,87.44289672981374,462.9089383636095
"TI, TRENT, PRECWIRE, PERSISTENT, ABCAPITAL",1.5491433695781875,-33.695316548145534,40.265633738238485,264.28572321429107,36.3875599100566,91.64494648181008,176.21989293052724
"TI, ARVIND, PERSISTENT, BSE, ABCAPITAL",17.440167913264837,-50.97130172150508,-0.9347365658671891,393.3515917433173,23.19919454639001,88.55979853470215,278.59210643775276
"TI, PERSISTENT, BSE, BHARTIARTL, BAJFINANCE",-3.989580007115745,-20.515090443184924,22.020583529439364,276.8475204386305,29.76689303160085,66.89809693840316,225.57631325536067
"TI, ARVIND, TRENT, PERSISTENT, BSE",11.420064867674707,-43.791683631712765,-11.544595669017422,296.07878068949896,-12.955723055365498,63.86320084137833,687.4148230838305
"TI, ARVIND, TRENT, INDIAGLYCO, BSE",17.414970191341062,-40.294830620826886,-32.724996327039776,206.8142421556662,18.13876787053259,55.855560390495015,822.0745336704599
"TRENT, PERSISTENT, BSE, ANGELONE, ABCAPITAL",0.0,-17.739588553544706,-2.095351868582984,270.6155898043711,-0.7826712782196488,76.73308487724138,368.3118418785555
"ARVIND, PRECWIRE, INDIAGLYCO, PERSISTENT, BSE",22.825735358611432,-63.441716074336306,-22.27590414026157,482.7899844874101,22.21219594639352,50.563855661181734,547.0820895787139
"TI, ARVIND, INDIAGLYCO, BSE, COFORGE",5.217228201184931,-42.77737877934321,-32.11904782204959,375.4592824077038,18.165822459809178,41.218915975571726,644.144130162771
"TI, TRENT, BSE, COFORGE, BAJFINANCE",-11.020861351019285,-19.19703148323183,6.49127996465253,240.33416833743598,23.80283377267034,88.72316711611701,294.43548967781663
"TI, INDIAGLYCO, PERSISTENT, BSE, HCG",20.231100621451723,-51.87556468444689,-12.58231284497715,359.55208582171974,42.641161135717674,20.621523040785327,496.34018281570746
"PRECWIRE, INDIAGLYCO, PERSISTENT, BSE, ANGELONE",0.0,-18.924903945957826,-34.61903321098878,455.1370356260733,27.564915860582715,37.32637902206062,362.2945764029456
"TI, ARVIND, TRENT, INDIAGLYCO, PERSISTENT",3.3556971147083337,-39.47802167916991,3.706416970775983,284.13776634036856,17.153585891751643,48.89305231781393,444.3960122693162
"TI, ARVIND, PRECWIRE, BSE, BAJFINANCE",15.94990258804172,-35.198837163656215,-24.301060625207583,303.2206510738635,43.67202150990692,107.76672048174207,244.64917193083014
"TI, ARVIND, TRENT, BSE, BAJFINANCE",6.584475070831264,-21.76945122383517,-15.61534803878204,212.79736882937974,17.42244665168964,121.6313843282049,311.3785693374458
"TI, ARVIND, TRENT, BSE, COFORGE",1.7785553633529627,-33.05077961760726,-19.76014644086257,223.20593518266318,3.2081936023688584,56.3482074628922,720.8586012448504
"TRENT, PRECWIRE, PERSISTENT, BSE, COFORGE",-5.882696382300445,-47.010038145987245,18.423061325467827,260.3747959360962,3.803004271995869,45.07876936626138,624.0910072885464
"TI, ARVIND, PERSISTENT, BSE, BAJFINANCE",5.130737467237956,-40.38432780482335,-7.5191445008258135,426.12000449414467,21.654052954889313,83.72625963551752,240.08583258457188
"TI, TRENT, PERSISTENT, CANBK, ABCAPITAL",-6.9046552027229975,-29.615393780217246,60.11081700019425,221.46692279487218,38.627191279183016,92.08409981058625,157.72212135449792
"TI, PERSISTENT, BSE, COFORGE, ANGELONE",0.0,-22.133289835541824,-50.23897530320425,491.19968143145434,9.987912428351953,53.563831086358846,497.6478983032524
"TI, TRENT, BSE, COFORGE, ABCAPITAL",-5.231041779875523,-20.06324840563458,24.653401503523664,195.3021506010219,22.865276201161812,66.05297536299611,305.29784841304456
"TI, ARVIND, PRECWIRE, PERSISTENT, BAJFINANCE",3.2879151819741326,-37.215425114617,20.44799484601465,386.4423218931156,29.42067388672358,83.18036442287875,155.32518561487962
"TI, TRENT, PRECWIRE, PERSISTENT, ANGELONE",0.0,-18.66658648775632,-12.872537711689159,270.99637666410797,12.042461203563072,76.98415163169582,338.4157642381192
"TI, PERSISTENT, BSE, BANKBARODA, BAJFINANCE",4.974323053551699,-38.12750989817778,20.295254394327888,301.0635221670709,33.67573088101692,89.11508884392279,188.4455770071006
"TI, ARVIND, TRENT, BSE, ABCAPITAL",13.863855488823296,-31.617992231384704,-12.413036252466625,179.04308584086186,17.582672705745296,137.32042140658672,329.3030299684421
"TI, TRENT, INDIAGLYCO, PERSISTENT, ABCAPITAL",-4.870925659995806,-36.21221626228205,69.53597723392006,244.2917945472725,30.13990512181739,67.43069421598562,191.15405494573335
"TI, ARVIND, PERSISTENT, BSE, COFORGE",3.337506235018761,-53.51532398272341,-14.537542978156026,470.7504468686363,11.710007443023063,41.70575969309365,501.58727410163044
"TI, PRECWIRE, PERSISTENT, COFORGE, ANGELONE",0.0,-23.43086028962109,-12.304860466946554,395.6520019194173,26.258673541744628,50.96046446533402,249.82438812968536
"TI, PRECWIRE, INDIAGLYCO, PERSISTENT, COFORGE",-4.5550831225379955,-40.409988864236226,10.334124650476205,379.26356102680165,32.408361102908856,37.54879173212784,304.68391319187924
"TI, ARVIND, PRECWIRE, BSE, ANGELONE",0.0,-21.532519884837185,-58.04074898189759,346.9876185440651,-1.6667434624287325,118.08774820963075,597.3746529963569
