Metric,Optimized_Portfolio,Benchmark_NIFTY50
sharpe_ratio,-0.6607093755081658,-0.7407532444996443
sortino_ratio,-1.0785113862818632,-1.0467754652397898
max_drawdown,-0.27202822407675065,-0.15242439711521155
std_dev,0.29246344321019657,0.12404263504937946
information_ratio,-0.4015336399420539,
r_squared,0.2630690276186454,
jensens_alpha,-0.08211646601605785,
