instrument_key,tradingsymbol,sharpe_ratio,sortino_ratio,max_drawdown,std_dev,information_ratio,r_squared,jensens_alpha
NSE_EQ|INE0SVO01019,SIDDHICOTS,18.611690402478068,,0.0,0.42335174281330407,18.71959905237889,0.03886370274446773,7.396992685572685
NSE_EQ|IN9278G01019,CYBERPP,8.53864108147344,25.171007486802704,-0.13494809688581313,0.6563828897463163,8.673838200814531,0.02581901505138463,5.625817274363161
NSE_EQ|INE0ZI101018,GANGABATH,5.013519716679108,10.48547129406972,-0.15892857142857136,0.45257290581892834,5.251380123432922,0.06933496343533488,2.3149900058381983
NSE_EQ|INE054301028,ODIGMA,3.3336829510210872,5.535467380943375,-0.4761989659475842,0.4824466171309954,3.481727935611415,0.026579732035140965,1.6442562976150477
NSE_EQ|INE268L01046,SHEKHAWATI,3.021911079695756,5.663192336682618,-0.21653666146645842,0.4667712292102453,3.0848001630793154,0.020925299253927353,1.4240829728822249
NSE_EQ|INE0TD101011,IDENTICAL,2.6845912499180553,4.803210543060406,-0.2558795860771401,0.5247767377272694,2.8011933272990164,0.003173242868758696,1.4285369563849344
NSE_EQ|INE0DAB01012,RVTH,2.4636132607611274,4.646625630702853,-0.3390239974230956,0.5210672125443297,2.5650792211879416,0.03715856870342415,1.3073197433385282
NSE_EQ|INE0PQK01013,FALCONTECH,2.395967316745226,3.9198520430606254,-0.3563958165728076,0.6078544373471569,2.421717734073975,0.00239945435133898,1.4637407985872486
NSE_EQ|INE0US801024,MFML,2.3677259861651025,4.052043954108361,-0.24076281287246717,0.5531887085711328,2.4535503902581857,0.03448807105359153,1.3305142498223022
NSE_EQ|INE888C01040,SADHNANIQ,2.3610908844607277,3.3211561598605175,-0.4431407942238266,0.5302534897452479,2.655832029400967,0.03359623057173677,1.358013760439462
NSE_EQ|INE0XM301010,MMEL,1.946559241088088,2.8807050783999864,-0.15983112183353448,0.6870442291651905,2.1011156438879195,7.449556080818398e-06,1.3346570231805248
NSE_EQ|INE411Y01011,DIL,1.8940840280256506,555.8332179318662,-0.9983821850019033,813.7742649639875,1.894172548729162,0.0005884517305869566,1532.43543759747
NSE_EQ|INE0B2801011,UNILEX,1.856156872501227,2.8987435308348797,-0.22988505747126461,0.5342309986537006,1.9058556456158187,0.007643683654194009,1.0041563241785112
NSE_EQ|INE452O01016,FLFL,1.8211654205655523,3.28549431062839,-0.5714285714285713,0.5567671191825082,2.034412820423547,0.02883589164511696,1.074491892111438
NSE_EQ|INE308E01029,SVPGLOB,1.7731816218847198,2.39698666872299,-0.4261744966442954,0.5247019451351864,2.0270288687046727,0.05454580771030457,1.0239965040728292
NSE_EQ|INE113601012,REXPRO,1.6802696075389432,1.97403884966314,-0.2562620423892102,0.4218471273266452,1.9515340517729103,0.004707465775348097,0.740244423232711
NSE_EQ|INE250Z01010,INDOUS,1.6254228541707254,1.994075780136009,-0.39577240095719235,0.5768919823037975,1.6274179453836162,0.03222265845918097,0.9265084532287478
NSE_EQ|INE442P01014,SUYOG,1.583688933326157,2.5363310664356087,-0.23351748579767592,0.48317853629644514,1.710673340611887,0.06317882460360562,0.7998269789230391
NSE_EQ|INE0U6N01014,SFML,1.569761404567385,2.0806190370558917,-0.33935018050541604,0.53305584987107,1.7463134841267265,0.05230863621476179,0.9059522637504885
NSE_EQ|INE0ZOL01023,EMAPARTNER,1.4830277961826537,2.2444435761940023,-0.1643302180685358,0.44791044062638696,1.8737372896450875,0.05817493500353457,0.7989507885170524
NSE_EQ|INE615R01029,TRU,1.44070722163952,1.8903191885834627,-0.6687866927592954,0.6009439425187468,1.6437941516784318,0.011409869095719586,0.9265821969199045
NSE_EQ|INE0TG801013,PARAMOUNT,1.4375053698071758,1.9365777576152123,-0.36264485344239966,0.6287318448862482,1.5356834678204845,0.019876811286867732,0.9421374409699077
NSE_EQ|INE0N1401016,NEELAM,1.418491151567962,2.7589741378783033,-0.41732283464566927,0.7245060300431172,1.4985044856986813,0.07015457331157983,1.0666580766993308
NSE_EQ|INE0SVY01018,KATARIA,1.3970383592551394,1.6747442330754785,-0.26362535324989883,0.46815335501767047,1.5233163799922005,0.0843294029083074,0.6849434061508084
NSE_EQ|INE0SHE01019,THESL,1.3426840535401459,2.3670474582401977,-0.3652073732718894,0.7110698092695232,1.3020716825677814,0.0019258192681646238,0.9482696898679553
NSE_EQ|INE0LS001014,USHAFIN,1.2964325130071022,1.8460769496449076,-0.5180952380952382,0.5408243769318507,1.4326926579145998,0.033034245896203476,0.7496710830907237
NSE_EQ|IN9382T01012,GVPTECHPP,1.2938395756187262,2.52043333033399,-0.2010771992818672,0.786000655706429,1.563856830693788,0.00801357758102289,1.1975371230081404
NSE_EQ|INE472M01018,MTEDUCARE,1.260359817638602,1.763238648081157,-0.6239067055393583,0.5571348538765365,1.4808543287106777,0.016859987752896655,0.7546062213058131
NSE_EQ|INE802W01023,BOHRAIND,1.2589132207783142,2.4008374582723753,-0.6981420208704504,0.5251215578370323,1.502748285780167,0.0073527732499661345,0.7123614015228136
NSE_EQ|INE0T0L01014,KALANA,1.2336845582074825,1.572454304270645,-0.3810408921933082,0.5372632592901231,1.2267871119595994,0.027450358101237318,0.6548852013390449
NSE_EQ|INE0K6601012,TGL,1.2287904201760118,2.7855423932828876,-0.8139597677872283,0.6155775620555106,1.3749510163247307,0.007968464285326859,0.7945466276188263
NSE_EQ|INE0ECC01022,MAXPOSURE,1.1877746426851359,1.517823635611516,-0.4438931297709924,0.6457125817066623,1.3990664532114425,0.08619246135774339,0.9113741983575356
