combination_symbols,sharpe_ratio,benchmark_sharpe,sortino_ratio,benchmark_sortino,total_profit_pct,profit_last_year_pct,profit_last_60_days_pct,rejection_reasons,max_drawdown
"SUNPHARMA, BANKBARODA, UNIONBANK, TRENT, IRFC",0.653797118831756,0.45258528438627393,9.844748872869873,1.6172197553771834,34537.298729831564,113.76028600361767,-7.413869239254867,Profit last 60 days -7.41% <= 0,-0.6670038780491132
"SUNPHARMA, BANKBARODA, UNIONBANK, TRENT, DLF",0.5010231832897444,0.45258528438627393,2.2935977328100585,1.6172197553771834,326.72803795586435,89.18481889669879,-5.834502114016626,Profit last 60 days -5.83% <= 0,-0.7270596787593354
"SUNPHARMA, BANKBARODA, UNIONBANK, IRFC, DLF",0.6064749012617187,0.45258528438627393,9.192870343029414,1.6172197553771834,16822.165525311237,24.795281191130524,-8.485027256693044,Profit last 60 days -8.49% <= 0,-0.6686733498694019
"SUNPHARMA, BANKBARODA, CANBK, PRECWIRE, AHLEAST",0.39580083485193734,0.45258528438627393,0.8030216657290495,1.6172197553771834,61.618672869456546,23.771051769053607,-2.1731078467566944,Sharpe 0.40 <= Benchmark 0.45; Sortino 0.80 <= Benchmark 1.62; Profit last 60 days -2.17% <= 0,-0.8993374275290854
"SUNPHARMA, BANKBARODA, CANBK, PRECWIRE, BIOCON",0.4476335921996091,0.45258528438627393,0.9752721804336593,1.6172197553771834,121.63761214211787,13.536171034279775,-6.5129081912037705,Sharpe 0.45 <= Benchmark 0.45; Sortino 0.98 <= Benchmark 1.62; Profit last 60 days -6.51% <= 0,-0.8169287374874186
"SUNPHARMA, BANKBARODA, CANBK, PRECWIRE, TRENT",0.611657521705636,0.45258528438627393,2.941266928305109,1.6172197553771834,735.458488844321,101.69958156042549,-4.201542409131919,Profit last 60 days -4.20% <= 0,-0.6190210973181314
"SUNPHARMA, BANKBARODA, CANBK, PRECWIRE, IRFC",0.49833983385424807,0.45258528438627393,10.866747729304786,1.6172197553771834,11966.184286257947,18.46403081021497,-10.2683360400863,Profit last 60 days -10.27% <= 0,-0.6396590348828887
"SUNPHARMA, BANKBARODA, CANBK, PRECWIRE, DLF",0.4056221139939582,0.45258528438627393,0.8817120392686432,1.6172197553771834,67.58288803867725,22.39511750230139,-8.013102253795367,Sharpe 0.41 <= Benchmark 0.45; Sortino 0.88 <= Benchmark 1.62; Profit last 60 days -8.01% <= 0,-0.8445672412315884
"SUNPHARMA, BANKBARODA, CANBK, AHLEAST, BIOCON",0.12279692113650882,0.45258528438627393,0.18294851366328413,1.6172197553771834,-39.71893524804073,0.6113968412085891,-5.473720395297777,Sharpe 0.12 <= Benchmark 0.45; Sortino 0.18 <= Benchmark 1.62; Total profit -39.72% <= 0; Profit last 60 days -5.47% <= 0,-0.8368510249147637
"SUNPHARMA, BANKBARODA, CANBK, AHLEAST, IRFC",0.46738333736091936,0.45258528438627393,10.59987004751396,1.6172197553771834,5332.097441688397,6.501237624468814,-5.340835274922773,Profit last 60 days -5.34% <= 0,-0.6141361386027443
