Portfolio,Overall Profit (%),Last 1 Year Profit (%),Last 60 Days Profit (%),Sharpe Ratio,Sortino Ratio,Max Drawdown
"TI, BSE, BHARTIARTL, ABCAPITAL, BAJFINANCE",1371.8433346289632,127.84891250283046,33.54950691512715,0.6422223811831391,3.9932441981582647,-0.3983353203109604
"TI, PRECWIRE, COFORGE, BHARTIARTL, BAJFINANCE",1252.3225327898178,115.97750161153608,42.4287333557174,0.6344845412484529,3.762414448532549,-0.384778206938527
"TI, COFORGE, BHARTIARTL, CANBK, BAJFINANCE",1105.4406481172566,100.04255703746888,38.72915320432349,0.6320504135328633,3.605240606313429,-0.3986791161933589
"TI, BHARTIARTL, CANBK, ABCAPITAL, BAJFINANCE",1095.2872241899706,76.91053305959035,31.80714911970881,0.6501193696804753,3.27660221351825,-0.399873802819311
"TI, COFORGE, BHARTIARTL, ABCAPITAL, BAJFINANCE",1055.9729282546366,89.33988954984994,34.524050926767266,0.6362943221867822,3.4663402620936288,-0.3833721991721095
"TI, TRENT, SUNPHARMA, ABCAPITAL, BAJFINANCE",1012.7120428974152,90.01130397996005,31.087065931619563,0.6237286830375878,3.4483464925810297,-0.3712888245212826
"TI, TRENT, PRECWIRE, SUNPHARMA, BAJFINANCE",992.6523866925048,118.36453339888986,35.891584085847875,0.6103446923464577,3.4477827854309613,-0.3821327541737288
"BSE, BHARTIARTL, SUNPHARMA, ABCAPITAL, BAJFINANCE",946.1383298570285,146.09216151373937,29.283987279130866,0.6092896193679235,3.679414888371828,-0.3687140159110226
"TI, COFORGE, BHARTIARTL, UNIONBANK, BAJFINANCE",943.5008974827076,112.83915639755652,40.73087228254568,0.6213804204386404,3.353961599656353,-0.3910754101498912
"TI, TRENT, COFORGE, SUNPHARMA, BAJFINANCE",933.5102726461644,121.19960358651171,38.3756203460573,0.6026856520232552,3.790806480428667,-0.3930545789305201
"TI, PRECWIRE, BHARTIARTL, SUNPHARMA, BAJFINANCE",891.5739141189789,108.06670013406614,36.04355418544068,0.6188638583921267,3.2041897641660952,-0.3859182753456961
"TI, COFORGE, BHARTIARTL, BANKBARODA, BAJFINANCE",887.4744018365469,70.11545321380537,16.66371030066369,0.5988897354595284,3.3536228052119275,-0.3860195438720462
"TI, PRECWIRE, BHARTIARTL, ABCAPITAL, BAJFINANCE",860.2460609298536,83.91014074378498,33.934553605602446,0.6094227552724953,3.0551643282047465,-0.389104496106682
"TI, BHARTIARTL, SUNPHARMA, ABCAPITAL, BAJFINANCE",858.3215229657841,87.15724669001177,31.79902158677088,0.6315841696371487,3.164832162745697,-0.3447751425916848
"TI, COFORGE, BHARTIARTL, SUNPHARMA, BAJFINANCE",857.5032852420068,113.3611475124423,39.2246443349878,0.6105258930006298,3.4783047099504616,-0.3597457421613494
"TI, TRENT, PRECWIRE, SUNPHARMA, ABCAPITAL",836.4091275384595,120.84929089608268,25.85937142480592,0.5742325739051605,3.5842195918414035,-0.3836989536405977
"TI, TRENT, BHARTIARTL, SUNPHARMA, BAJFINANCE",827.7470797746998,128.10220562483062,35.421260471071434,0.5997609460165617,3.4917228922667136,-0.3953238917323767
"TI, INDIAGLYCO, COFORGE, SUNPHARMA, BAJFINANCE",814.2449554341151,96.82312523450084,39.82035123623757,0.5825267098776133,3.467116940997011,-0.3771702291170647
"TI, COFORGE, SUNPHARMA, CANBK, BAJFINANCE",810.5981254297593,94.67534998906788,35.28172424525078,0.5854635194888868,3.3604487450617366,-0.3881905393785059
"TI, PRECWIRE, COFORGE, SUNPHARMA, BAJFINANCE",790.9274045180587,104.1143402989202,39.71434024577887,0.5804029597725857,2.9725954479722247,-0.3983570015847164
"TRENT, PRECWIRE, SUNPHARMA, ABCAPITAL, BAJFINANCE",756.0558457018848,98.33493413271988,29.667519318542524,0.596316796546599,3.086513892042026,-0.3859944688124632
"TI, INDIAGLYCO, BHARTIARTL, SUNPHARMA, BAJFINANCE",752.8236655741699,102.13263752267108,36.41312695418335,0.589726973703109,3.1546274023473724,-0.3889875025346243
"TI, COFORGE, BHARTIARTL, BAJFINANCE, INFY",707.1152373418809,74.20443478213843,15.734333689335678,0.5645416384735422,3.058178159957768,-0.3863812102044101
"TRENT, COFORGE, SUNPHARMA, ABCAPITAL, BAJFINANCE",703.874509149305,93.18492435879062,31.6434671880917,0.5849911654568909,3.06233822613714,-0.3750893777155093
"TI, TRENT, SUNPHARMA, BANKBARODA, BAJFINANCE",698.0642083965395,74.46854344857448,14.606695971333128,0.5591145929463814,3.1493439217382906,-0.3854609820221901
"TRENT, PRECWIRE, BHARTIARTL, SUNPHARMA, BAJFINANCE",692.5176951459138,119.62132100254036,32.92779139320279,0.5847512898984923,3.0429980093998297,-0.3744919254909626
"TI, BHARTIARTL, SUNPHARMA, CANBK, ABCAPITAL",688.5048445690958,84.97243961599983,23.28506199785099,0.5729529448521608,3.1406826674728343,-0.3886757794368203
"TRENT, BHARTIARTL, SUNPHARMA, ABCAPITAL, BAJFINANCE",673.099829655049,97.04378746153904,29.30907974181125,0.5921805493601003,2.9306116832548605,-0.3851877869226454
"TRENT, BSE, SUNPHARMA, ABCAPITAL, INFY",662.6423891023351,135.18316542045503,8.719159534105248,0.5494198127074446,3.360740642000977,-0.3951655184013053
"BSE, BHARTIARTL, SUNPHARMA, BAJFINANCE, INFY",660.6496744148826,113.37266183400344,13.369305132071196,0.5606261240425255,3.285234542153357,-0.3793221334761291
